,car_model,year_of_manufacture,price,fuel
72,corolla altis,2013,11119.4,Petrol
73,etios liva,2011,3955.22,Petrol
74,etios cross,2014,7313.43,Diesel
75,etios g,2015,5895.52,Petrol
76,corolla altis,2013,8208.96,Petrol
77,corolla,2004,2238.81,Petrol
78,corolla altis,2010,7835.82,Petrol
79,fortuner,2012,21641.79,Diesel
80,corolla altis,2016,21985.07,Diesel
81,etios gd,2015,7089.55,Diesel
82,innova,2017,34328.36,Diesel
83,innova,2015,18656.72,Diesel
84,innova,2005,5208.96,Diesel
85,camry,2006,3731.34,Petrol
86,land cruiser,2010,52238.81,Diesel
87,corolla altis,2012,8805.97,Petrol
88,etios liva,2013,5149.25,Petrol
89,etios g,2014,7089.55,Petrol
90,ritz,2014,5000.0,Petrol
91,sx4,2013,7089.55,Diesel
92,ciaz,2017,10820.9,Petrol
93,wagon r,2011,4253.73,Petrol
94,swift,2014,6865.67,Diesel
95,vitara brezza,2018,13805.97,Diesel
96,ciaz,2015,10074.63,Petrol
97,s cross,2015,9701.49,Diesel
98,ciaz,2016,13059.7,Diesel
99,ciaz,2015,11119.4,Diesel
100,alto 800,2017,4253.73,Petrol
101,ciaz,2015,10223.88,Diesel
102,ciaz,2015,11194.03,Petrol
103,ertiga,2015,9104.48,Petrol
104,dzire,2009,3358.21,Petrol
105,ertiga,2016,11567.16,Diesel
106,ertiga,2015,10820.9,Diesel
107,ertiga,2016,11567.16,Diesel
108,wagon r,2015,4850.75,CNG
109,sx4,2010,3955.22,Petrol
110,alto k10,2016,4253.73,Petrol
111,ignis,2017,7313.43,Petrol
112,sx4,2011,6567.16,Petrol
113,alto k10,2014,3731.34,Petrol
114,wagon r,2013,4328.36,Petrol
115,swift,2011,4477.61,Petrol
116,swift,2013,6194.03,Petrol
117,swift,2017,8955.22,Petrol
118,alto k10,2010,2910.45,Petrol
119,ciaz,2015,11119.4,Diesel
120,ritz,2012,4626.87,Diesel
121,ritz,2011,3507.46,Petrol
122,swift,2014,7388.06,Diesel
123,ertiga,2014,8955.22,Diesel
124,dzire,2014,8208.96,Diesel
125,sx4,2011,4402.99,CNG
126,dzire,2015,6940.3,Petrol
127,800,2003,522.39,Petrol
128,alto k10,2016,4477.61,Petrol
129,sx4,2003,3358.21,Petrol
130,baleno,2016,8731.34,Petrol
131,alto k10,2014,3805.97,Petrol
132,sx4,2008,2910.45,Petrol
133,dzire,2014,8208.96,Diesel
134,omni,2012,1865.67,Petrol
135,ciaz,2014,11194.03,Petrol
136,ritz,2013,3955.22,Petrol
137,wagon r,2006,1567.16,Petrol
138,ertiga,2015,8656.72,Petrol
139,ciaz,2017,11567.16,Petrol
140,fortuner,2012,22238.81,Diesel
141,fortuner,2015,34328.36,Diesel
142,innova,2017,26865.67,Diesel
143,fortuner,2013,23880.6,Diesel
144,innova,2005,4104.48,Petrol
145,corolla altis,2009,5373.13,Petrol
146,etios cross,2015,6716.42,Petrol
147,corolla altis,2010,7089.55,Petrol
148,etios g,2014,6119.4,Petrol
149,fortuner,2014,29835.82,Diesel
150,corolla altis,2013,10373.13,Petrol
151,etios cross,2015,6716.42,Petrol
152,fortuner,2014,27985.07,Diesel
153,fortuner,2015,35074.63,Diesel
154,fortuner,2017,49253.73,Diesel
155,etios liva,2014,7089.55,Diesel
156,innova,2017,29477.61,Petrol
157,fortuner,2010,13805.97,Diesel
158,corolla altis,2011,6492.54,Petrol
159,corolla altis,2016,21268.66,Petrol
160,etios liva,2014,5895.52,Diesel
161,corolla altis,2011,6716.42,Diesel
162,corolla altis,2013,11119.4,Petrol
163,etios liva,2011,3955.22,Petrol
164,etios cross,2014,7313.43,Diesel
165,etios g,2015,5895.52,Petrol
166,corolla altis,2013,8208.96,Petrol
167,corolla,2004,2238.81,Petrol
168,corolla altis,2010,7835.82,Petrol
169,fortuner,2012,21641.79,Diesel
170,corolla altis,2016,21985.07,Diesel
171,etios gd,2015,7089.55,Diesel
172,innova,2017,34328.36,Diesel
173,innova,2015,18656.72,Diesel
174,innova,2005,5208.96,Diesel
175,camry,2006,3731.34,Petrol
176,land cruiser,2010,52238.81,Diesel
177,corolla altis,2012,8805.97,Petrol
178,etios liva,2013,5149.25,Petrol
179,etios g,2014,7089.55,Petrol
